mouse,human
Tiam1,TIAM1
Tek,TEK
Trim24,TRIM24
Tinf2,TINF2
Pth2,PTH2
Tlr1,TLR1
Tlr6,TLR6
Tlr2,TLR2
Tlr4,TLR4
Tlr5,TLR5
Tlr8,TLR8
Tjp2,TJP2
Tbpl1,TBPL1
Tlr7,TLR7
Tlx3,TLX3
Tspan12,TSPAN12
Tspan6,TSPAN6
Tspan7,TSPAN7
Tmbim1,TMBIM1
Tmcc1,TMCC1
Slc9d1,SLC9D1
Tmem100,TMEM100
Slc38a12,SLC38A12
Stimate,STIMATE
Tmem120a,TMEM120A
Tmem138,TMEM138
Tmem174,TMEM174
Tmem167,TMEM167A
Tmem178,TMEM178A
Tmem179,TMEM179
Cnep1r1,CNEP1R1
Agmo,AGMO
Vma12,VMA12
Tmem200c,TMEM200C
Pacc1,PACC1
Tmem222,TMEM222
C2cd2l,C2CD2L
Pgap4,PGAP4
Cdc50c,CDC50CP
Mmgt1,MMGT1
Cnpy2,CNPY2
Tmem41a,TMEM41A
Ndc1,NDC1
Vmp1,VMP1
Rxylt1,RXYLT1
Maco1,MACO1
Saraf,SARAF
Emc4,EMC4
Emc6,EMC6
Tnfaip8l2,TIPE2
Tnfrsf1a,TNFRSF1A
Psmg2,PSMG2
Tob1,TOB1
Tom1l2,TOM1L2
Tomm70a,TOMM70
Arid4b,ARID4B
Trp53inp2,TP53INP2
Tph1,TPH1
Tph2,TPH2
Tpm4,TPM4
Thpo,THPO
Tppp2,TPPP2
Pdss1,PDSS1
Traf4,TRAF4
Med20,MED20
Cers4,CERS4
Ticam1,TICAM1
Mid2,MID2
Triml2,TRIML2
Ntrk1,NTRK1
Tyw2,TYW2
Ro60,RO60
Dct,DCT
Trpa1,TRPA1
Trpm1,TRPM1
Wars1,WARS1
Dnajb13,DNAJB13
Tsg101,TSG101
Cep41,CEP41
Tshb,TSHB
Crlf2,CRLF2
Tspan13,TSPAN13
Tspan1,TSPAN1
Tspan5,TSPAN5
Eipr1,EIPR1
Sf3b1,SF3B1
Khdrbs3,KHDRBS3
Trappc12,TRAPPC12
Odad4,ODAD4
Emc2,EMC2
Skic3,SKIC3
Lmo2,LMO2
Dnmbp,DNMBP
Tuba1a,TUBA1A
Tubb2b,TUBB2B
Tubb2a,TUBB2A
Tubg1,TUBG1
Tubg2,TUBG2
Mtpap,MTPAP
Tut7,TUT7
Twist1,TWIST1
Polr1f,POLR1F
Tmx1,TMX1
Erp44,ERP44
Dtymk,DTYMK
Tut1,TUT1
Ubap2,UBAP2
Ube2i,UBE2I
Uba3,UBA3
Ube3d,UBE3D
Ube2d1,UBE2D1
Ube2d2a,UBE2D2
Ube2g1,UBE2G1
Ufm1,UFM1
Ubl7,UBL7
Ubtd1,UBTD1
Ubxn6,UBXN6
Ubxn4,UBXN4
Ucp3,UCP3
Slc25a27,SLC25A27
Slc25a14,SLC25A14
Ube4b,UBE4B
Ugt1a6b,UGT1A6
Ugt1a1,UGT1A1
Uts2,UTS2
Uck2,UCK2
Xylt1,XYLT1
Zc4h2,ZC4H2
Nuf2,NUF2
Prdm5,PRDM5
Dlc1,DLC1
Pkp4,PKP4
Tusc3,TUSC3
Acer2,ACER2
Dennd4c,DENND4C
Shc3,SHC3
Fcho1,FCHO1
Dxo,DXO
Ube2o,UBE2O
Clcc1,CLCC1
Ccdc15,CCDC15
Psg27,CEACAM21
Ceacam14,CEACAM4
Zan,ZAN
Tespa1,TESPA1
Ghitm,GHITM
Kif1b,KIF1B
Slc7a7,SLC7A7
Wdr1,WDR1
Vps11,VPS11
Sart1,SART1
Cbfb,CBFB
Upp2,UPP2
Uqcc1,UQCC1
Urah,URAHP
Uts2b,UTS2B
Scube2,SCUBE2
Usp34,USP34
Ogfod3,OGFOD3
Kdm6a,KDM6A
Uty,UTY
Vmn1r12,VN1R5
Vmn1r1,VN1R17P
Vmn1r230,VN1R4
Slc18a3,SLC18A3
Vamp1,VAMP1
Ddx4,DDX4
Uso1,USO1
Veph1,VEPH1
Vgll2,VGLL2
Vhl,VHL
Slc32a1,SLC32A1
Pdcl3,PDCL3
Cdc16,CDC16
Vil1,VIL1
Slc18a2,SLC18A2
Psmd6,PSMD6
Dcaf1,DCAF1
Vps26a,VPS26A
Vstm2l,VSTM2L
Vtn,VTN
Wac,WAC
Tpbgl,TPBGL
Wbp2nl,WBP2NL
Eif4h,EIF4H
Abhd11,ABHD11
Bud23,BUD23
Dcaf5,DCAF5
Dcaf11,DCAF11
Ciao1,CIAO1
Wdr45b,WDR45B
Poc1a,POC1A
Snrnp40,SNRNP40
Dync2i1,DYNC2I1
Skic8,SKIC8
Dnai3,DNAI3
Tbc1d31,TBC1D31
Dnai4,DNAI4
Dph7,DPH7
Dnaaf10,DNAAF10
Rmc1,RMC1
Dcaf13,DCAF13
Nsd3,NSD3
Pym1,PYM1
Wipf1,WIPF1
Doc2b,DOC2B
Wnt10b,WNT10B
Wnt3a,WNT3A
Wnt4,WNT4
Wnt7a,WNT7A
Wdr82,WDR82
Cndp1,CNDP1
Mtf2,MTF2
Vdac2,VDAC2
Snapc3,SNAPC3
Stard3nl,STARD3NL
Casq2,CASQ2
Sfxn2,SFXN2
Zfhx2,ZFHX2
Pitrm1,PITRM1
Cpt2,CPT2
Zfp207,ZNF207
Aip,AIP
Dcps,DCPS
Nup133,NUP133
Wdr13,WDR13
Acsl6,ACSL6
Gtf2e2,GTF2E2
Usp5,USP5
Ofd1,OFD1
Pfdn5,PFDN5
Arih2,ARIH2
Mdm4,MDM4
Cdk2,CDK2
Cyp20a1,CYP20A1
Mtpn,MTPN
Dda1,DDA1
Nenf,NENF
Ddost,DDOST
Prim2,PRIM2
Atp6v1g1,ATP6V1G1
Atp6v1g2,ATP6V1G2
Atp6v1g3,ATP6V1G3
Rapgef6,RAPGEF6
Pelo,PELO
Dcxr,DCXR
Spcs2,SPCS2
Rpn1,RPN1
Thap11,THAP11
Vapa,VAPA
Psmc5,PSMC5
Wdr18,WDR18
Mrps23,MRPS23
Arih1,ARIH1
Vamp8,VAMP8
Snrpd3,SNRPD3
Rps27rt,RPS27
Cox15,COX15
Rnps1,RNPS1
Aagab,AAGAB
Rrp15,RRP15
Nvl,NVL
Cpsf6,CPSF6
Phf6,PHF6
Sap30l,SAP30L
Sap30,SAP30
Rpl12,RPL12
Mrpl20,MRPL20
Hnrnpd,HNRNPD
Dut,DUT
Glis3,GLIS3
Fgb,FGB
Crkl,CRKL
Smarca2,SMARCA2
Kpna4,KPNA4
Nup50,NUP50
Rps24,RPS24
Klhl15,KLHL15
Ywhaq,YWHAQ
Sfn,SFN
Rpl19,RPL19
Uba52,UBA52
Rps4x,RPS4X
Rpl15,RPL15
Rps6,RPS6
Ap3s1,AP3S1
Ndfip2,NDFIP2
Fubp1,FUBP1
Rps15,RPS15
Rpl23a,RPL23A
Slc38a6,SLC38A6
Prkag1,PRKAG1
Rpl7a,RPL7A
Sema5a,SEMA5A
Etfb,ETFB
Mrpl28,MRPL28
Akirin1,AKIRIN1
Hdac4,HDAC4
Tbl2,TBL2
Arhgdia,ARHGDIA
Zranb2,ZRANB2
Sdc3,SDC3
Limk2,LIMK2
Mbd2,MBD2
Tmub1,TMUB1
Dpm2,DPM2
Rpl3,RPL3
Scyl3,SCYL3
Spty2d1,SPTY2D1
Vdac3,VDAC3
Tspyl3,TSPY26P
Tspyl5,TSPYL5
Tspyl2,TSPYL2
Tspyl4,TSPYL4
Rps15a,RPS15A
Eif5a2,EIF5A2
Btf3,BTF3
Col6a3,COL6A3
Tcta,TCTA
Drg1,DRG1
Cltb,CLTB
Jagn1,JAGN1
Scarf1,SCARF1
Dis3,DIS3
Cotl1,COTL1
Derl1,DERL1
Ndufb9,NDUFB9
Lpcat4,LPCAT4
Trps1,TRPS1
Arhgap28,ARHGAP28
Tfg,TFG
Sarnp,SARNP
Ing4,ING4
Polr3e,POLR3E
Commd2,COMMD2
Blmh,BLMH
Net1,NET1
Rpl21,RPL21
Uevld,UEVLD
Tysnd1,TYSND1
Gcsh,GCSH
Herc1,HERC1
Thy1,THY1
Pik3cg,PIK3CG
Usp8,USP8
Szrd1,SZRD1
Lman2,LMAN2
Fxr1,FXR1
Ndnf,NDNF
Akirin2,AKIRIN2
Ssb,SSB
Vwa5a,VWA5A
Ppid,PPID
Sucla2,SUCLA2
Dpp7,DPP7
Txndc5,TXNDC5
Maea,MAEA
Ttpal,TTPAL
Tram2,TRAM2
Smpd4,SMPD4
Anp32e,ANP32E
Cdk9,CDK9
Cpsf1,CPSF1
Zfr,ZFR
Pgrmc2,PGRMC2
Atrx,ATRX
Ube2e3,UBE2E3
Smurf1,SMURF1
Pcm1,PCM1
Psmd9,PSMD9
Kctd10,KCTD10
Atp6v0b,ATP6V0B
Ppig,PPIG
Idh2,IDH2
Ctsa,CTSA
Gart,GART
Ndufs1,NDUFS1
Akt1s1,AKT1S1
Tmbim4,TMBIM4
Dtwd1,DTWD1
Abce1,ABCE1
Dbnl,DBNL
Srrm1,SRRM1
Ak2,AK2
Ilf2,ILF2
Rcc2,RCC2
Cnn2,CNN2
Pid1,PID1
Chrac1,CHRAC1
Ryk,RYK
Rcn3,RCN3
Tax1bp3,TAX1BP3
Rchy1,RCHY1
Mthfd2,MTHFD2
Rad51,RAD51
Frmd6,FRMD6
Xrn2,XRN2
Ube2e1,UBE2E1
Ube2e2,UBE2E2
Psmc3,PSMC3
Ndufa10,NDUFA10
Etfrf1,ETFRF1
Pms2,PMS2
Safb,SAFB
Safb2,SAFB2
Anxa13,ANXA13
Nono,NONO
Usp1,USP1
Hmmr,HMMR
Cyb5a,CYB5A
Crtap,CRTAP
Vps26b,VPS26B
Phpt1,PHPT1
Ptpn13,PTPN13
Luc7l,LUC7L
Fbxl5,FBXL5
Uri1,URI1
Eaf1,EAF1
Dhps,DHPS
Snx3,SNX3
Npl,NPL
Actn4,ACTN4
Ik,IK
Usp39,USP39
Rpl7l1,RPL7L1
Cdc27,CDC27
Dao,DAO
Sde2,SDE2
Ikzf5,IKZF5
Laptm4a,LAPTM4A
Sirt2,SIRT2
Cs,CS
Hsdl2,HSDL2
Setd6,SETD6
BC005537,C6orf62
Acox1,ACOX1
C9,C9
Cpb1,CPB1
Sptssa,SPTSSA
Clta,CLTA
Adh4,ADH4
Adh7,ADH7
Agt,AGT
Dbi,DBI
Dbil5,DBIL5P
Gmpr2,GMPR2
Dpp3,DPP3
Pik3r1,PIK3R1
Cyp51,CYP51A1
Eif3l,EIF3L
Sdf4,SDF4
Serpina11,SERPINA11
Serpina7,SERPINA7
Serpina5,SERPINA5
Serpina6,SERPINA6
Serpina12,SERPINA12
Serpina9,SERPINA9
Cpa2,CPA2
Cpa4,CPA4
St6galnac3,ST6GALNAC3
Arg2,ARG2
Maoa,MAOA
Maob,MAOB
Tomm40,TOMM40
Upb1,UPB1
Ankfy1,ANKFY1
Arrdc2,ARRDC2
Pdcd6ip,PDCD6IP
Plg,PLG
Zfa-ps,ZFY
Zfx,ZFX
Tada2b,TADA2B
U2af2,U2AF2
Terf1,TERF1
Anapc5,ANAPC5
Eaf2,EAF2
Vps53,VPS53
Oxsr1,OXSR1
Ndufb2,NDUFB2
Ldlrad2,LDLRAD2
Appbp2,APPBP2
Nktr,NKTR
Spc24,SPC24
Abcf1,ABCF1
Endog,ENDOG
Nosip,NOSIP
Rps20,RPS20
Auh,AUH
Stx5a,STX5
Smurf2,SMURF2
Colec11,COLEC11
Ddx49,DDX49
Dek,DEK
Taf6,TAF6
Larp1,LARP1
Ddx41,DDX41
Ttl,TTL
Dcaf12,DCAF12
Rpl10a,RPL10A
Gdpd1,GDPD1
Drg2,DRG2
Tomm34,TOMM34
Rab5c,RAB5C
Pus1,PUS1
Mtmr10,MTMR10
Fam3c,FAM3C
Ndufv1,NDUFV1
Arhgap11a,ARHGAP11A
Dusp5,DUSP5
Carhsp1,CARHSP1
Pls3,PLS3
Cenpe,CENPE
Msh2,MSH2
Pla2g6,PLA2G6
Cav1,CAV1
Msrb3,MSRB3
Dbr1,DBR1
Aimp2,AIMP2
Pim1,PIM1
Sf1,SF1
Rsad1,RSAD1
Tnrc6a,TNRC6A
Tdh,TDH
Nipa1,NIPA1
Sfmbt1,SFMBT1
Kptn,KPTN
Rnf130,RNF130
Klhl13,KLHL13
Gnl2,GNL2
Stat3,STAT3
Dck,DCK
Rsrp1,RSRP1
Pigc,PIGC
Sppl2b,SPPL2B
Arid3b,ARID3B
Mypn,MYPN
Plekhm1,PLEKHM1
Ndfip1,NDFIP1
Rassf1,RASSF1
Det1,DET1
Supv3l1,SUPV3L1
Taf13,TAF13
Trappc10,TRAPPC10
Faxdc2,FAXDC2
Ccdc24,CCDC24
Golga7,GOLGA7
Hbs1l,HBS1L
Farp2,FARP2
Ipo9,IPO9
Rbm5,RBM5
Dazap2,DAZAP2
Ercc3,ERCC3
Mgat4b,MGAT4B
Tsnaxip1,TSNAXIP1
Mospd1,MOSPD1
Mus81,MUS81
Eif2s2,EIF2S2
Cldn12,CLDN12
Hmga2,HMGA2
Poli,POLI
Dhodh,DHODH
Fezf1,FEZF1
Crim1,CRIM1
Clic1,CLIC1
Hdac6,HDAC6
Atxn2l,ATXN2L
Eif4e3,EIF4E3
Cops3,COPS3
Taldo1,TALDO1
Gosr2,GOSR2
Slc25a16,SLC25A16
Fam234b,FAM234B
Mospd2,MOSPD2
Trappc5,TRAPPC5
Aup1,AUP1
Arl11,ARL11
Taf5,TAF5
Dctn3,DCTN3
Hectd3,HECTD3
Irf2bpl,IRF2BPL
Pink1,PINK1
Ndor1,NDOR1
Aph1b,APH1B
Prpf38b,PRPF38B
Tmem115,TMEM115
Urod,UROD
Actr6,ACTR6
Gtf2b,GTF2B
Rras2,RRAS2
Txndc12,TXNDC12
Tcp11l2,TCP11L2
Sephs1,SEPHS1
Zswim8,ZSWIM8
Sgcd,SGCD
Trp53bp1,TP53BP1
Txlng,TXLNG
E2f3,E2F3
Lonp2,LONP2
Cav2,CAV2
Fam107b,FAM107B
Gdpgp1,GDPGP1
Rabif,RABIF
Sdf2l1,SDF2L1
Tbc1d17,TBC1D17
Slc39a9,SLC39A9
Pomk,POMK
Tbc1d12,TBC1D12
Ell,ELL
Glt8d1,GLT8D1
Usp13,USP13
Olig2,OLIG2
Nsun2,NSUN2
Triml1,TRIML1
Pcbp4,PCBP4
Rragb,RRAGB
Rraga,RRAGA
Fbxw2,FBXW2
Smtnl2,SMTNL2
Gskip,GSKIP
Med28,MED28
Slc39a5,SLC39A5
Usp16,USP16
Gnptg,GNPTG
Fbxo9,FBXO9
Slc39a3,SLC39A3
Trim44,TRIM44
Polr1b,POLR1B
Atf1,ATF1
Pdik1l,PDIK1L
Brd7,BRD7
Zfp185,ZNF185
Ppp1r15a,PPP1R15A
Wdr24,WDR24
Spg21,SPG21
Ankra2,ANKRA2
Mmp15,MMP15
Sltm,SLTM
Uros,UROS
Gemin8,GEMIN8
Fbxw5,FBXW5
Slc26a11,SLC26A11
Chaf1a,CHAF1A
Mynn,MYNN
Pklr,PKLR
Cbl,CBL
Tex10,TEX10
Asb8,ASB8
Btbd9,BTBD9
Ctdspl,CTDSPL
Hdac8,HDAC8
Usp36,USP36
Zfp60,ZNF780A
Zfp112,ZNF112
Hdac10,HDAC10
Ppp1r3b,PPP1R3B
Bckdha,BCKDHA
Cndp2,CNDP2
Stxbp6,STXBP6
Nasp,NASP
Klhl11,KLHL11
Gbp5,GBP5
Zbtb20,ZBTB20
Ttpa,TTPA
Tm4sf5,TM4SF5
Plxna4,PLXNA4
Eif4a2,EIF4A2
Slc13a2,SLC13A2
Slc38a4,SLC38A4
Helz,HELZ
Dhdds,DHDDS
Zbtb14,ZBTB14
Pgk2,PGK2
Pgk1,PGK1
Scrn3,SCRN3
1700025G04Rik,C1orf21
Rtn3,RTN3
Mta2,MTA2
Foxj3,FOXJ3
Tmem184a,TMEM184A
Slc25a33,SLC25A33
Trmt9b,TRMT9B
Ss18,SS18
Ets2,ETS2
Psma4,PSMA4
Ssr4,SSR4
Canx,CANX
Med26,MED26
Sgsh,SGSH
Vrk1,VRK1
Lrrc42,LRRC42
Rnft1,RNFT1
Ccdc28a,CCDC28A
Rabac1,RABAC1
Actr8,ACTR8
Psmc4,PSMC4
Flcn,FLCN
Invs,INVS
Nudt5,NUDT5
Scamp2,SCAMP2
Lsm2,LSM2
Poll,POLL
Cnot8,CNOT8
Rab28,RAB28
Cdc20,CDC20
Rprd1a,RPRD1A
Slc30a8,SLC30A8
N4bp1,N4BP1
Qrsl1,QRSL1
Psmd7,PSMD7
Slc30a5,SLC30A5
Srp72,SRP72
Ttyh2,TTYH2
Mtmr6,MTMR6
Dusp16,DUSP16
Tnfaip1,TNFAIP1
Kcnd3,KCND3
Slc30a7,SLC30A7
Rnf41,RNF41
Gpd1l,GPD1L
Runx1t1,RUNX1T1
Rpa1,RPA1
Mthfd2l,MTHFD2L
Prpsap2,PRPSAP2
Tgds,TGDS
Sf3a3,SF3A3
Rhoq,RHOQ
Eif3a,EIF3A
Gkap1,GKAP1
Tlk2,TLK2
Ints12,INTS12
Klhl18,KLHL18
Pmpca,PMPCA
Chp2,CHP2
Tm9sf2,TM9SF2
Eftud2,EFTUD2
Lrpap1,LRPAP1
Ndel1,NDEL1
Cebpz,CEBPZ
Pla1a,PLA1A
Gucd1,GUCD1
Npepl1,NPEPL1
Trmt5,TRMT5
Wtap,WTAP
Rnf146,RNF146
Itgb5,ITGB5
Hsd11b2,HSD11B2
Tmem117,TMEM117
Usp25,USP25
Ttc5,TTC5
Ube2q2,UBE2Q2
Rap2b,RAP2B
Kif20a,KIF20A
Ythdf3,YTHDF3
Mat1a,MAT1A
Ldhd,LDHD
Fyb2,FYB2
Pls1,PLS1
Arhgef10,ARHGEF10
Ddx23,DDX23
Actr5,ACTR5
Msto1,MSTO1
Ppil4,PPIL4
Cuedc2,CUEDC2
Nol6,NOL6
Ecd,ECD
Klhl12,KLHL12
Tmem59l,TMEM59L
Plrg1,PLRG1
Foxk1,FOXK1
Rftn2,RFTN2
S100z,S100Z
Akap9,AKAP9
Dync2h1,DYNC2H1
Syt4,SYT4
Fahd1,FAHD1
Ptrh2,PTRH2
Ift80,IFT80
Fez1,FEZ1
Fbxo42,FBXO42
Bbox1,BBOX1
Dr1,DR1
Ccdc124,CCDC124
Ppt1,PPT1
Uchl5,UCHL5
Fgfr1op2,FGFR1OP2
Dzank1,DZANK1
Mavs,MAVS
Sdhaf2,SDHAF2
Cdc50b,CDC50B
Katnb1,KATNB1
Chic1,CHIC1
Arfgap1,ARFGAP1
Anp32-ps,ANP32D
Lyrm1,LYRM1
Adam23,ADAM23
Dusp2,DUSP2
Camk4,CAMK4
Rdh12,RDH12
Rdh11,RDH11
Carnmt1,CARNMT1
Rufy2,RUFY2
Dnajb3,DNAJB3P
Dnajb7,DNAJB7
Dnajb8,DNAJB8
Stmn4,STMN4
Sbf1,SBF1
Glod4,GLOD4
Mrps18b,MRPS18B
Ttc7b,TTC7B
Mdh2,MDH2
Tango2,TANGO2
Trim36,TRIM36
Cox7c,COX7C
Glipr2,GLIPR2
6430548M08Rik,KIAA0513
Nmnat2,NMNAT2
Vamp2,VAMP2
Rhag,RHAG
5730455P16Rik,C17orf75
Hbp1,HBP1
Ak5,AK5
Got1,GOT1
Rilpl1,RILPL1
Ppp1r11,PPP1R11
Cwc15,CWC15
Nek7,NEK7
Taok2,TAOK2
Khk,KHK
Ripk4,RIPK4
Ctsz,CTSZ
Rnf13,RNF13
Mtmr11,MTMR11
Rnf113a1,RNF113A
Setx,SETX
Zfp592,ZNF592
Rps6ka6,RPS6KA6
Mcrs1,MCRS1
Slc35b1,SLC35B1
Sulf1,SULF1
Klc3,KLC3
Psma8,PSMA8
Psma7,PSMA7
Baiap2,BAIAP2
Alg5,ALG5
Aebp2,AEBP2
Wdr5b,WDR5B
Wdr5,WDR5
Polr2c,POLR2C
Lrrc28,LRRC28
Zdhhc2,ZDHHC2
Srprb,SRPRB
Rab39a,RAB39A
Rab42,RAB42
Usp14,USP14
Fndc3a,FNDC3A
Capzb,CAPZB
Spry2,SPRY2
Mreg,MREG
Tbk1,TBK1
Srd5a2,SRD5A2
Hsh2d,HSH2D
Ca6,CA6
Setdb2,SETDB2
Tpgs1,TPGS1
Syvn1,SYVN1
Xrn1,XRN1
Arpc1a,ARPC1A
Cdk8,CDK8
Mecp2,MECP2
Bmp3,BMP3
Fosl2,FOSL2
Slc35a1,SLC35A1
Irf7,IRF7
Pkig,PKIG
Ndufv3,NDUFV3
Nrg1,NRG1
Ftcd,FTCD
Trpv4,TRPV4
Nup54,NUP54
Cryz,CRYZ
Eml2,EML2
Amph,AMPH
Barhl2,BARHL2
Mrpl19,MRPL19
Ube2g2,UBE2G2
Erbb2,ERBB2
Phex,PHEX
Phf10,PHF10
Necab1,NECAB1
Xcr1,XCR1
Xkr5,XKR5
Ercc2,ERCC2
Atp23,ATP23
Ythdf2,YTHDF2
Hoxa5,HOXA5
Otud7b,OTUD7B
Ahi1,AHI1
Neurod4,NEUROD4
Atoh8,ATOH8
Zbtb45,ZBTB45
Unk,UNK
Zc3h4,ZC3H4
Slc18b1,SLC18B1
Ccdc88c,CCDC88C
Zdhhc16,ZDHHC16
Nfilz,NFILZ
Hsd17b1,HSD17B1
Ccr7,CCR7
Hsf2,HSF2
Oprk1,OPRK1
Oprm1,OPRM1
Fmr1,FMR1
Pglyrp2,PGLYRP2
Tas1r1,TAS1R1
Tas1r3,TAS1R3
Crtc3,CRTC3
Zfand1,ZFAND1
Pef1,PEF1
Bet1l,BET1L
Ufc1,UFC1
Lamtor2,LAMTOR2
Alg6,ALG6
Tmem144,TMEM144
Thoc3,THOC3
Hook3,HOOK3
Rbms2,RBMS2
Yeats4,YEATS4
Nudcd2,NUDCD2
Scgn,SCGN
Sfxn1,SFXN1
Bag3,BAG3
Fam151b,FAM151B
Bola3,BOLA3
Negr1,NEGR1
Traip,TRAIP
Immp2l,IMMP2L
Rab30,RAB30
Sh3bgr,SH3BGR
Tmf1,TMF1
Fkbp9,FKBP9
Pltp,PLTP
Chst1,CHST1
Fbxo25,FBXO25
Ndufa3,NDUFA3
Babam1,BABAM1
Hnmt,HNMT
Nkain4,NKAIN4
Ube2b,UBE2B
Fnbp1l,FNBP1L
Sgcg,SGCG
Impa1,IMPA1
Gpn1,GPN1
Wdr54,WDR54
Emp2,EMP2
Me2,ME2
Diaph3,DIAPH3
Tk2,TK2
Ypel1,YPEL1
Mphosph6,MPHOSPH6
Trappc1,TRAPPC1
Mrps27,MRPS27
Rnpep,RNPEP
Srek1,SREK1
Hspbap1,HSPBAP1
Nicn1,NICN1
Cdkl1,CDKL1
Trappc3,TRAPPC3
Trappc3l,TRAPPC3L
Fam120b,FAM120B
Gcc1,GCC1
Tmem18,TMEM18
Rab4b,RAB4B
Mnd1,MND1
Dpm1,DPM1
Zmat5,ZMAT5
Tmem223,TMEM223
Cks1b,CKS1B
Arf4,ARF4
Cep57l1,CEP57L1
Ccdc12,CCDC12
Mfsd6l,MFSD6L
Lpar2,LPAR2
Commd7,COMMD7
Fam199x,FAM199X
Nudt4,NUDT4
Pibf1,PIBF1
Rnf114,RNF114
Fbp2,FBP2
Surf2,SURF2
Lcmt1,LCMT1
Asb1,ASB1
Lctl,LCTL
Nxph1,NXPH1
Ctu2,CTU2
Bola1,BOLA1
Tmem230,TMEM230
Tcf25,TCF25
Commd5,COMMD5
Lsm1,LSM1
Lrrc1,LRRC1
Reep6,REEP6
Kcnip1,KCNIP1
Galk1,GALK1
Rundc3b,RUNDC3B
Csnk1g1,CSNK1G1
Bub3,BUB3
Arsa,ARSA
Cpped1,CPPED1
Ilrun,ILRUN
Snf8,SNF8
Dolpp1,DOLPP1
Ythdc1,YTHDC1
Cyb561d2,CYB561D2
Fubp3,FUBP3
Mnat1,MNAT1
Baz2a,BAZ2A
Cdk5,CDK5
Thg1l,THG1L
Dera,DERA
Bora,BORA
Stx17,STX17
Thoc6,THOC6
Scp2d1,SCP2D1
Cdadc1,CDADC1
Alg14,ALG14
Spdya,SPDYA
Nit1,NIT1
Fn3krp,FN3KRP
Fn3k,FN3K
Dhcr24,DHCR24
Phyhd1,PHYHD1
Bmp2k,BMP2K
Ormdl3,ORMDL3
Slc37a1,SLC37A1
Haus5,HAUS5
Shld3,SHLD3
Gins1,GINS1
Ap1s3,AP1S3
Tbc1d22a,TBC1D22A
Tpk1,TPK1
Angptl7,ANGPTL7
Acot8,ACOT8
Tlcd1,TLCD1
Katnal1,KATNAL1
Cadm4,CADM4
Nsun4,NSUN4
Nudt22,NUDT22
Ech1,ECH1
Ccpg1,CCPG1
Cradd,CRADD
Nxnl2,NXNL2
Pih1d2,PIH1D2
Svopl,SVOPL
Dusp14,DUSP14
Xkrx,XKRX
Rbm41,RBM41
Wdfy1,WDFY1
Trip10,TRIP10
Lrrc23,LRRC23
Anxa9,ANXA9
Pacrg,PACRG
Spic,SPIC
Tmprss2,TMPRSS2
Dram1,DRAM1
Styxl1,STYXL1
Cmss1,CMSS1
Def8,DEF8
Dhtkd1,DHTKD1
Emx1,EMX1
Fkbp2,FKBP2
Tectb,TECTB
Cnih2,CNIH2
Uxt,UXT
Tprkb,TPRKB
Gsto2,GSTO2
Lypd6,LYPD6
Islr2,ISLR2
Islr,ISLR
Cutc,CUTC
Acot7,ACOT7
Cited2,CITED2
Cd151,CD151
Hspb7,HSPB7
Pcnp,PCNP
Nexn,NEXN
Raly,RALY
Adprhl1,ADPRHL1
Rnf24,RNF24
Trappc6b,TRAPPC6B
Fhl2,FHL2
Slc25a44,SLC25A44
Mvk,MVK
Map2,MAP2
Csad,CSAD
Smyd5,SMYD5
Scamp3,SCAMP3
Armc1,ARMC1
Rlig1,RLIG1
Ccnd3,CCND3
Samm50,SAMM50
Mpv17l2,MPV17L2
Spire2,SPIRE2
Dscc1,DSCC1
C1d,C1D
Polr2i,POLR2I
Arhgef39,ARHGEF39
Pex10,PEX10
Rpia,RPIA
Ap1m2,AP1M2
Myd88,MYD88
Mettl8,METTL8
Mrpl17,MRPL17
Pex7,PEX7
Neil3,NEIL3
Cdc42ep2,CDC42EP2
Pced1b,PCED1B
Pced1a,PCED1A
Tmem248,TMEM248
Yif1b,YIF1B
Rdm1,RDM1
Asrgl1,ASRGL1
Sumf2,SUMF2
Fbln5,FBLN5
Saa4,SAA4
Ttr,TTR
Haao,HAAO
Cox6a2,COX6A2
C1qc,C1QC
Ttc36,TTC36
Tm7sf2,TM7SF2
Apip,APIP
Stam2,STAM2
Mettl1,METTL1
Uck1,UCK1
Cope,COPE
Prrg1,PRRG1
Arl2,ARL2
Impact,IMPACT
Cdh6,CDH6
Ift20,IFT20
AI837181,C11orf68
Adra1b,ADRA1B
Slc7a2,SLC7A2
Steep1,STEEP1
Lrrc20,LRRC20
Aspdh,ASPDH
Crip1,CRIP1
Phlda1,PHLDA1
Bfsp2,BFSP2
Mrpl53,MRPL53
Hint1,HINT1
Cox17,COX17
Commd3,COMMD3
Ndufs6,NDUFS6
Pitx3,PITX3
Fancg,FANCG
Mtx3,MTX3
Nit2,NIT2
Vti1a,VTI1A
Nsmce4a,NSMCE4A
Eid3,EID3
Tmem127,TMEM127
C1qa,C1QA
Rcl1,RCL1
Tsen54,TSEN54
Ctbs,CTBS
Mrpl13,MRPL13
Rtbdn,RTBDN
Polr2b,POLR2B
Lrit2,LRIT2
Pcbp3,PCBP3
Phactr3,PHACTR3
Ints2,INTS2
Cabp5,CABP5
Cryba4,CRYBA4
Wbp2,WBP2
Atp6v0e2,ATP6V0E2
Irx6,IRX6
Neu4,NEU4
Tpd52l1,TPD52L1
Pin4,PIN4
Gsr,GSR
Ovca2,OVCA2
Pcyt1a,PCYT1A
